"Time","481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665685800,,,,
1592665686000,,,,
1592665686200,,,,
1592665686400,,,,
1592665686600,,,,
1592665686800,,,,
1592665687000,,,,
1592665687200,,,,
1592665687400,,,,
1592665687600,,,,
1592665687800,,,,
1592665688000,75814248.00000001,,,
1592665688200,,,,
1592665688400,,,,
1592665688600,,,,
1592665688800,,,,
1592665689000,,,75814244.00000001,75814248.00000001
1592665689200,,,,
1592665689400,,,,
1592665689600,,,,
1592665689800,,,,
1592665690000,,75814200,,
1592665690200,,,,
1592665690400,,,,
1592665690600,,,,
1592665690800,,,,
1592665691000,,,,
1592665691200,,,,
1592665691400,,,,
1592665691600,,,,
1592665691800,,,,
1592665692000,,,,
1592665692200,,,,
1592665692400,,,,
1592665692600,,,,
1592665692800,,,,
1592665693000,75814372.00000001,,,
1592665693200,,,,
1592665693400,,,,
1592665693600,,,,
1592665693800,,,,
1592665694000,,,,75814364.00000001
1592665694200,,,,
1592665694400,,,,
1592665694600,,,,
1592665694800,,,,
1592665695000,,75814300.00000001,75814360.00000001,
1592665695200,,,,
1592665695400,,,,
1592665695600,,,,
1592665695800,,,,
1592665696000,,,,
1592665696200,,,,
1592665696400,,,,
1592665696600,,,,
1592665696800,,,,
1592665697000,,,,
1592665697200,,,,
1592665697400,,,,
1592665697600,,,,
1592665697800,,,,
1592665698000,75814264.00000001,,,
1592665698200,,,,
1592665698400,,,,
1592665698600,,,,
1592665698800,,,,
1592665699000,,,,75814256
1592665699200,,,,
1592665699400,,,,
1592665699600,,,,
1592665699800,,,,
1592665700000,,75814208.00000001,75814272,
1592665700200,,,,
1592665700400,,,,
1592665700600,,,,
1592665700800,,,,
1592665701000,,,,
1592665701200,,,,
1592665701400,,,,
1592665701600,,,,
1592665701800,,,,
1592665702000,,,,
1592665702200,,,,
1592665702400,,,,
1592665702600,,,,
1592665702800,,,,
1592665703000,75814656,,,
1592665703200,,,,
1592665703400,,,,
1592665703600,,,,
1592665703800,,,,
1592665704000,,,,
1592665704200,,,,
1592665704400,,,,
1592665704600,,,,
1592665704800,,,,
1592665705000,,75814572.00000001,75814668,75814676.00000001
1592665705200,,,,
1592665705400,,,,
1592665705600,,,,
1592665705800,,,,
1592665706000,,,,
1592665706200,,,,
1592665706400,,,,
1592665706600,,,,
1592665706800,,,,
1592665707000,,,,
1592665707200,,,,
1592665707400,,,,
1592665707600,,,,
1592665707800,,,,
1592665708000,75814552.00000001,,,
1592665708200,,,,
1592665708400,,,,
1592665708600,,,,
1592665708800,,,,
1592665709000,,,,
1592665709200,,,,
1592665709400,,,,
1592665709600,,,,
1592665709800,,,,
1592665710000,,75814496.00000001,75814500.00000001,75814548
1592665710200,,,,
1592665710400,,,,
1592665710600,,,,
1592665710800,,,,
1592665711000,,,,
1592665711200,,,,
1592665711400,,,,
1592665711600,,,,
1592665711800,,,,
1592665712000,,,,
1592665712200,,,,
1592665712400,,,,
1592665712600,,,,
1592665712800,,,,
1592665713000,75814456.00000001,,,
1592665713200,,,,
1592665713400,,,,
1592665713600,,,,
1592665713800,,,,
