"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627619000,,,,71461804
1591627620000,71461792.00000001,,71461792.00000001,
1591627621000,,71461136.00000001,,
1591627622000,,,,
1591627623000,,,,
1591627624000,,,,
1591627625000,71460376.00000001,,71460372.00000001,71460396.00000001
1591627626000,,,,
1591627627000,,71459784.00000001,,
1591627628000,,,,
1591627629000,,,,
1591627630000,71458440,,71458440,71458444.00000001
1591627631000,,,,
1591627632000,,71457784.00000001,,
1591627633000,,,,
1591627634000,,,,
1591627635000,71457016.00000001,,71457016.00000001,71457032
1591627636000,,,,
1591627637000,,71456380,,
1591627638000,,,,
1591627639000,,,,
1591627640000,71454820,,71454816.00000001,71454820
1591627641000,,,,
1591627642000,,71454304.00000001,,
1591627643000,,,,
1591627644000,,,,
1591627645000,71453032.00000001,,,71453620
1591627646000,,,71453032.00000001,
1591627647000,,71452972.00000001,,
1591627648000,,,,
1591627649000,,,,
1591627650000,,,,71451688
1591627651000,71451680.00000001,,71451680.00000001,
1591627652000,,71450996.00000001,,
1591627653000,,,,
1591627654000,,,,
1591627655000,,,,
1591627656000,71449664,,71449660.00000001,71449664
1591627657000,,,,
1591627658000,,71449172.00000001,,
1591627659000,,,,
1591627660000,,,,
1591627661000,71448588.00000001,,71448584,71448588.00000001
1591627662000,,,,
1591627663000,,71447928.00000001,,
1591627664000,,,,
1591627665000,,,,
1591627666000,71446572.00000001,,71446572.00000001,71446576.00000001
1591627667000,,,,
1591627668000,,71445848.00000001,,
1591627669000,,,,
1591627670000,,,,
1591627671000,71445264.00000001,,71445260.00000001,71445264.00000001
1591627672000,,,,
1591627673000,,71444572.00000001,,
1591627674000,,,,
1591627675000,,,,
1591627676000,71444568,,,71444568
1591627677000,,,71444564,
1591627678000,,71444484.00000001,,
1591627679000,,,,
1591627680000,,,,
1591627681000,,,,71444488.00000001
1591627682000,71444484.00000001,,71444480.00000001,
1591627683000,,71444484.00000001,,
1591627684000,,,,
1591627685000,,,,
1591627686000,,,,71444412
1591627687000,71444408.00000001,,71444408.00000001,
1591627688000,,71444412,,
1591627689000,,,,
1591627690000,,,,
1591627691000,,,,
1591627692000,71444360.00000001,,71444360.00000001,71444364.00000001
1591627693000,,,,
1591627694000,,71444276,,
1591627695000,,,,
1591627696000,,,,
1591627697000,71444264,,71444264,71444272
1591627698000,,,,
1591627699000,,71444280.00000001,,
1591627700000,,,,
1591627701000,,,,
1591627702000,71444272,,71444228.00000001,71444196.00000001
1591627703000,,,,
1591627704000,,71444212.00000001,,
1591627705000,,,,
1591627706000,,,,
1591627707000,71444152.00000001,,71444152.00000001,71444156.00000001
1591627708000,,,,
1591627709000,,71444220,,
1591627710000,,,,
1591627711000,,,,
1591627712000,71444128.00000001,,,71444136.00000001
1591627713000,,,71444128.00000001,
1591627714000,,71444060.00000001,,
1591627715000,,,,
1591627716000,,,,
1591627717000,,,,71444124
1591627718000,71444084.00000001,,71444084.00000001,
1591627719000,,71444068.00000001,,
1591627720000,,,,
1591627721000,,,,
1591627722000,,,,71444136.00000001
1591627723000,71444132,,71444132,
1591627724000,,,,
1591627725000,,71444036.00000001,,
1591627726000,,,,
1591627727000,,,,
1591627728000,71444160,,71444156.00000001,71444160
1591627729000,,,,
1591627730000,,71443888.00000001,,
1591627731000,,,,
1591627732000,,,,
1591627733000,71443956.00000001,,71443952,71443956.00000001
1591627734000,,,,
1591627735000,,71443896.00000001,,
1591627736000,,,,
1591627737000,,,,
1591627738000,71443900,,71443900,71443904.00000001

