"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770986500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770987000,,,,,,,,,37727424,,,37727428.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,37727424,37727424,,,,,,,,,
1592770987500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770988000,,,,,,,,37727412.00000001,,,,,,,,,,,,,,,,37727416.00000001,,,37727420,,,,,37727412.00000001,,,,,,,,,,,,,37727424,,,,,
1592770988500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770989000,37727396.00000001,,,,,,,,,,37727404,,,,,37727408.00000001,,37727404,,,,,,,,,,,,,,,,,37727400.00000001,37727400.00000001,,37727408.00000001,,,,,,,,,,,,
1592770989500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770990000,,37727388.00000001,,37727368.00000001,37727356,,,,,,,,37727360.00000001,,37727360.00000001,,,,,37727368.00000001,,37727356,37727384,,,37727388.00000001,,37727356,37727392,37727356,37727392,,,,,,37727360.00000001,,,,,37727360.00000001,37727384,37727384,,37727360.00000001,,37727364,37727372,
1592770990500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770991000,,,37727340.00000001,,,37727312.00000001,37727348,,,37727344,,,,37727344,,,37727328,,37727312.00000001,,37727348,,,,37727344,,,,,,,,37727328,37727328,,,,,,,,,,,,,37727352.00000001,,,37727348
1592770991500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770992000,,,,,,,,,,,,37727300,,,,,,,,,,,,,,,,,,,,,,,,,,,37727308,,,,,,,,,,,
1592770992500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770993000,,,,,,,,,37727292.00000001,,,,,,,,,,,,,,,37727160.00000001,,,37727160.00000001,,,,,37727144,,,,,,,,37727292.00000001,37727292.00000001,,,,37727272.00000001,,,,,
1592770993500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770994000,37727112.00000001,,,,,,,37727140.00000001,,,37727128,,,,,37727136,,,,,,,,,,,,,,,,,,,37727128,37727124.00000001,,37727140.00000001,,,,,,,,,,,,
1592770994500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770995000,,37726964.00000001,,37726956,,,,,,,,,,,37726948,,,,,37726960.00000001,,,37726964.00000001,,,37726964.00000001,,,37726976,,37726976,,,,,,,,,,,,37726960.00000001,37726960.00000001,,,,37726956,37726960.00000001,
1592770995500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770996000,,,37726924,,37726944.00000001,37726916,37726932.00000001,,,37726928,,,37726944.00000001,37726928,,,37726912.00000001,37726932.00000001,37726904,,37726940,37726944.00000001,,,37726932.00000001,,,37726944.00000001,,37726944.00000001,,,37726916,37726912.00000001,,,37726944.00000001,,,,,37726944.00000001,,,,37726944.00000001,37726940,,,37726932.00000001
1592770996500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37726904,,,,,,,,,,,
1592770997500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770998000,,,,,,,,,37726876.00000001,,,37726880,,,,,,,,,,,,37726840,,,37726840,,,,,,,,,,,,,37726872.00000001,37726872.00000001,,,,37726868.00000001,,,,,
1592770998500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770999000,,,,,,,,37726836.00000001,,,37726960.00000001,,,,,37726984,,,,,,,,,,,,,,,,37726836.00000001,,,37726960.00000001,37726956,,37726836.00000001,,,,,,,,,,,,
1592770999500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
