"Time","Device","Duration","State"
1592771102000,172.20.0.25,684,1
1592771104000,172.20.0.25,1053,1
1592771105000,172.20.0.25,1281,0
1592771107000,172.20.0.25,1486,1
1592771108000,172.20.0.25,628,1
1592771112000,172.20.0.25,281,1
1592771116000,172.20.0.25,20024,0
1592771117000,172.20.0.25,286,1
1592771118000,172.20.0.25,404,1
1592771119000,172.20.0.25,20042,0
1592771121000,172.20.0.25,480,0
1592771122000,172.20.0.25,563,1
1592771123000,172.20.0.25,20004,0
1592771149000,172.20.0.25,340,0
1592771150000,172.20.0.25,369,1
1592771151000,172.20.0.25,326,0
1592771152000,172.20.0.25,257,0
1592771153000,172.20.0.25,297,0
1592771154000,172.20.0.25,1342,0
1592771155000,172.20.0.25,500,0
1592771156000,172.20.0.25,638,0
1592771157000,172.20.0.25,599,0
1592771158000,172.20.0.25,597,1
1592771159000,172.20.0.25,250,0
1592771168000,172.20.0.25,303,1
1592771169000,172.20.0.25,27,0
1592771177000,172.20.0.25,20002,0
1592771179000,172.20.0.25,20005,0
1592771180000,172.20.0.25,20055,0
1592771206000,172.20.0.25,402,0
1592771214000,172.20.0.25,771,0
1592771218000,172.20.0.25,212,0
1592770981000,172.20.0.26,393,1
1592771012000,172.20.0.26,326,1
1592771052000,172.20.0.26,305,1
1592771072000,172.20.0.26,321,1
1592771100000,172.20.0.26,371,0
1592771101000,172.20.0.26,81,0
1592771102000,172.20.0.26,221,0
1592771103000,172.20.0.26,702,1
1592771104000,172.20.0.26,1047,1
1592771105000,172.20.0.26,1014,0
1592771106000,172.20.0.26,1226,0
1592771107000,172.20.0.26,1376,0
1592771108000,172.20.0.26,956,0
1592771112000,172.20.0.26,301,1
1592771114000,172.20.0.26,20014,0
1592771115000,172.20.0.26,20003,0
1592771116000,172.20.0.26,20016,0
1592771117000,172.20.0.26,312,1
1592771118000,172.20.0.26,440,1
1592771119000,172.20.0.26,20036,0
1592771121000,172.20.0.26,497,0
1592771122000,172.20.0.26,586,1
1592771148000,172.20.0.26,241,0
1592771149000,172.20.0.26,281,0
1592771150000,172.20.0.26,329,1
1592771159000,172.20.0.26,5759,0
1592771188000,172.20.0.26,299,0
1592771204000,172.20.0.26,330,0
1592771214000,172.20.0.26,681,0
1592771218000,172.20.0.26,534,0
1592771219000,172.20.0.26,416,0
1592771220000,172.20.0.26,92,0
1592771225000,172.20.0.26,20006,0
1592771228000,172.20.0.26,20006,0
1592771229000,172.20.0.26,20004,0
1592771230000,172.20.0.26,20002,0
1592771316000,172.20.0.26,20001,0
1592771317000,172.20.0.26,20009,0
1592771319000,172.20.0.26,20002,0
1592771320000,172.20.0.26,20000,0
1592771321000,172.20.0.26,20002,0
1592771323000,172.20.0.26,20001,0
1592771324000,172.20.0.26,20001,0
1592770981000,172.20.0.27,319,1
1592771012000,172.20.0.27,339,1
1592771052000,172.20.0.27,299,1
1592771072000,172.20.0.27,356,1
1592771100000,172.20.0.27,388,0
1592771101000,172.20.0.27,78,0
1592771102000,172.20.0.27,705,1
1592771103000,172.20.0.27,463,0
1592771104000,172.20.0.27,1077,1
1592771105000,172.20.0.27,1062,0
1592771106000,172.20.0.27,704,0
1592771107000,172.20.0.27,1697,0
1592771108000,172.20.0.27,510,0
1592771114000,172.20.0.27,20011,0
1592771115000,172.20.0.27,20002,0
1592771116000,172.20.0.27,20009,0
1592771117000,172.20.0.27,406,1
1592771118000,172.20.0.27,391,1
1592771119000,172.20.0.27,20033,0
1592771121000,172.20.0.27,377,1
1592771122000,172.20.0.27,20001,0
1592771148000,172.20.0.27,7,0
1592771149000,172.20.0.27,344,1
1592771174000,172.20.0.27,20002,0
1592771188000,172.20.0.27,252,0
1592771205000,172.20.0.27,335,0
1592771212000,172.20.0.27,1221,0
1592771214000,172.20.0.27,710,0
1592771215000,172.20.0.27,125,0
1592771217000,172.20.0.27,434,0
1592771218000,172.20.0.27,324,0
1592771220000,172.20.0.27,91,0
1592771225000,172.20.0.27,20005,0
1592771228000,172.20.0.27,20005,0
1592771229000,172.20.0.27,20002,0
1592771230000,172.20.0.27,20001,0
1592770981000,172.20.0.28,332,1
1592771012000,172.20.0.28,350,1
1592771071000,172.20.0.28,20018,0
1592771100000,172.20.0.28,353,1
1592771101000,172.20.0.28,93,0
1592771102000,172.20.0.28,254,0
1592771103000,172.20.0.28,464,0
1592771104000,172.20.0.28,1054,1
1592771106000,172.20.0.28,1366,0
1592771107000,172.20.0.28,1362,0
1592771108000,172.20.0.28,557,1
1592771116000,172.20.0.28,20029,0
1592771117000,172.20.0.28,379,1
1592771118000,172.20.0.28,320,1
